	Uniprot ID	Uniprot Subcellular Location	Gene Ontology (Cellular Component)
10	Q3UV17	Not found Uniprot Annotation	extracellular space|keratin filament
11	P63213	Cell membrane|Lipid-anchor|Cytoplasmic side	heterotrimeric G-protein complex|plasma membrane
12	O35593	Not found Uniprot Annotation	cytosolic proteasome complex|nucleus|proteasome accessory complex|proteasome complex|proteasome regulatory particle, lid subcomplex
13	Q8BH61	Cytoplasm|Secreted|Secreted into the blood plasma. Cytoplasmic in most tissues, but also secreted in the blood plasma.	collagen-containing extracellular matrix|cytoplasm|extracellular region
14	B2RSH2	Nucleus|Cytoplasm|Cell membrane|Peripheral membrane protein|Cytoplasmic side|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Cytoplasm|Cell cortex|Membrane|Lipid-anchor|Localizes in the centrosomes of interphase and mitotic cells, but not in centrosomes during cytokinesis. Detected at the cleavage furrow or the midbody. Localized at the plasma membrane throughout mitosis. Colocalizes with RIC8A and RGS14 at the plasma membrane.	cell cortex|centrosome|cytoplasm|heterotrimeric G-protein complex|midbody|nucleolus|nucleoplasm|plasma membrane|protein-containing complex
15	O08677	Secreted|Extracellular space	blood microparticle|collagen-containing extracellular matrix|extracellular region|extracellular space|perikaryon
16	Q9EQI5	Secreted	extracellular space
17	Q01339	Secreted	cell surface|chylomicron|extracellular space|high-density lipoprotein particle|very-low-density lipoprotein particle
18	P51910	Secreted	cytoplasm|cytosolic ribosome|dendrite|endoplasmic reticulum|extracellular space|neuronal cell body|perinuclear region of cytoplasm
19	A0A075B5N9	Not found Uniprot Annotation	extracellular space
20	P11087	Secreted|Extracellular space|Extracellular matrix	collagen trimer|collagen type I trimer|collagen type II trimer|collagen-containing extracellular matrix|cytoplasm|extracellular matrix|extracellular region|extracellular space|secretory granule
21	P07901	Nucleus|Cytoplasm|Melanosome|Cell membrane|Mitochondrion	apical plasma membrane|axonal growth cone|basolateral plasma membrane|brush border membrane|cell surface|collagen-containing extracellular matrix|cytoplasm|cytosol|dendritic growth cone|melanosome|mitochondrion|myelin sheath|neuronal cell body|nucleoplasm|nucleus|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|sperm flagellum|sperm mitochondrial sheath|sperm plasma membrane
22	A2AQ25	Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Cytoplasm	centrosome|cytoplasm
23	P97350	Nucleus	adherens junction|cornified envelope|cytoplasm|desmosome|nucleoplasm|nucleus|plasma membrane
24	Q02105	Secreted	collagen trimer|complement component C1 complex|complement component C1q complex|extracellular region|extracellular space|postsynapse|synapse
25	E9PV24	Secreted	blood microparticle|cell cortex|collagen-containing extracellular matrix|extracellular space|fibrinogen complex|synapse
26	Q8CJH3	Cell membrane|Single-pass type I membrane protein	plasma membrane|semaphorin receptor complex
27	Q9CY50	Endoplasmic reticulum membrane|Single-pass type I membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane
28	P07356	Secreted|Extracellular space|Extracellular matrix|Basement membrane|Melanosome|In the lamina beneath the plasma membrane.	AnxA2-p11 complex|basement membrane|basolateral plasma membrane|cell cortex|cell surface|collagen-containing extracellular matrix|cornified envelope|cytoplasm|cytosol|early endosome|extracellular exosome|extracellular space|late endosome membrane|lipid droplet|lysosomal membrane|macropinosome|melanosome|membrane|membrane raft|midbody|myelin sheath adaxonal region|nuclear matrix|PCSK9-AnxA2 complex|perinuclear region of cytoplasm|plasma membrane|plasma membrane protein complex|protein-containing complex|RNA polymerase II transcription regulator complex|ruffle|sarcolemma|Schmidt-Lanterman incisure|vesicle
29	B1AR17	Not found Uniprot Annotation	centriolar satellite|chromatin|cytoplasm|nucleolus|nucleoplasm|nucleus|NuRD complex|PML body
30	Q5XJY5	Cytoplasm|Golgi apparatus membrane|Peripheral membrane protein|Cytoplasmic side|Cytoplasmic vesicle|COPI-coated vesicle membrane|Peripheral membrane protein|Cytoplasmic side|The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.	COPI vesicle coat|COPI-coated vesicle|endoplasmic reticulum|Golgi apparatus|Golgi membrane
31	P10126	Cytoplasm|Nucleus|Nucleus|Nucleolus|Cell membrane|Colocalizes with DLC1 at actin-rich regions in the cell periphery. Translocates together with ZPR1 from the cytoplasm to the nucleus and nucleolus after treatment with mitogens. Localization at the cell membrane depends on EEF1A1 phosphorylation status and the presence of PPP1R16B.	cytoplasm|myelin sheath|nucleolus|nucleus|plasma membrane
32	Q5DTT1	Nucleus|Cytoplasm	cytosol|midbody|nucleoplasm|nucleus
33	Q05D44	Cytoplasm	cytoplasm|mitochondrion|synapse
34	P01029	Secreted|Synapse|Cell projection|Axon|Cell projection|Dendrite	axon|dendrite|extracellular region|extracellular space|synapse
35	Q03385	Cytoplasm|Nucleus|Localizes mainly in the peripheral region of the cytoplasmic membrane in oocytes and in preimplantation embryos until the 8-cell stage. Between the late 1-cell and the early 2-cell stages, nuclear localization becomes stronger. After the 4-cell stage, not detected in the nucleus.	cytoplasm|nucleus|plasma membrane
36	P62830	Cytoplasm	cytoplasm|cytosol|cytosolic large ribosomal subunit|cytosolic ribosome|nucleolus|nucleoplasm|postsynapse|postsynaptic density|presynapse|ribosome|synapse
37	Q64310	Endoplasmic reticulum membrane|Multi-pass membrane protein|Endoplasmic reticulum-Golgi intermediate compartment membrane|Multi-pass membrane protein|Golgi apparatus membrane|Multi-pass membrane protein|Active at endoplasmic reticulum exit sites (ERES) where it is incorporated together with its lipoprotein cargos into COPII-coated vesicles. From the Golgi it is recycled back to the endoplasmic reticulum.	COPII-coated ER to Golgi transport vesicle|cytosol|endoplasmic reticulum|endoplasmic reticulum exit site|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|endoplasmic reticulum-Golgi intermediate compartment membrane|Golgi membrane|nuclear membrane
38	Q8K2B3	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side	mitochondrial inner membrane|mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)|mitochondrion|myelin sheath|nucleolus|succinate dehydrogenase complex (ubiquinone)
39	Q811G0	Cell projection|Cilium membrane|Cytoplasm|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Centriolar satellite	BBSome|centriolar satellite|ciliary basal body|ciliary membrane|ciliary transition zone|cilium|cytoplasm|membrane|pericentriolar material
40	Q9R1P0	Cytoplasm|Nucleus|Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9 (By similarity). Colocalizes with TRIM5 in the cytoplasmic bodies (PubMed:22078707).	cytosol|nucleoplasm|nucleus|P-body|proteasome core complex|proteasome core complex, alpha-subunit complex
41	A0A075B5J9	Not found Uniprot Annotation	extracellular space
42	A0A140T8N3	Not found Uniprot Annotation	extracellular space
43	P28798	Secreted|Lysosome|Endocytosed by SORT1 and delivred to lysosomes. Targeted to lysosome by PSAP via M6PR and LRP1, in both biosynthetic and endocytic pathways (By similarity). Co-localized with GBA1 in the intracellular trafficking compartments until to lysosome (PubMed:27789271).	cerebellar climbing fiber to Purkinje cell synapse|endoplasmic reticulum|extracellular region|extracellular space|glutamatergic synapse|Golgi apparatus|late endosome|lysosomal membrane|lysosome|membrane|mitochondrion|plasma membrane|presynapse|synapse|trans-Golgi network|vesicle
44	Q8VC03	Cytoplasm|Cytoskeleton|Cytoplasm|Nucleus|Midbody|Cytoplasm|Cytoskeleton|Spindle|Localizes to microtubules throughout all mitotic stages and localizes to the midbody during cytokinesis.	cytoplasm|microtubule cytoskeleton|midbody|mitotic spindle microtubule|nucleus|spindle|spindle microtubule
45	Q8R1V4	Endoplasmic reticulum membrane|Single-pass type I membrane protein	COPII-coated ER to Golgi transport vesicle|endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus
46	Q9DBH5	Golgi apparatus membrane|Single-pass type I membrane protein	cell surface|COPII-coated ER to Golgi transport vesicle|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|extracellular space|Golgi membrane|plasma membrane
47	Q9D6F9	Cytoplasm|Cytoskeleton	axoneme|cell projection|cilium|cytoplasm|intercellular bridge|internode region of axon|microtubule|mitotic spindle|myelin sheath|neuronal cell body
48	Q8CGR7	Not found Uniprot Annotation	cytosol|type III intermediate filament
49	Q80VR3	Cytoplasm	cytoplasm
50	P11680	Secreted	cytoplasmic side of Golgi membrane|extracellular space|secretory granule
51	A0A0B4J1H6	Not found Uniprot Annotation	extracellular space
52	Q9R1P4	Cytoplasm|Nucleus|Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9.	centrosome|cytosol|nucleoplasm|nucleus|proteasome complex|proteasome core complex|proteasome core complex, alpha-subunit complex
53	P43142	Cell membrane|Multi-pass membrane protein	plasma membrane
54	Q61171	Cytoplasm	cytosol|mitochondrion|myelin sheath
55	Q80Y37	Nucleus	nucleus
56	Q6RT24	Cytoplasm|Cytoskeleton|Spindle|Chromosome|Centromere|Kinetochore|Chromosome|Centromere|Associates with kinetochores during congression (as early as prometaphase), relocates to the spindle midzone at anaphase, and is quantitatively discarded at the end of the cell division (PubMed:12361599, PubMed:12925705). Recruited to the kinetochore in a SEPT7, CENPQ and TRAPPC12-dependent manner. Recruited to the pericentromeric/centromeric regions of the chromosome in a CTCF-dependent manner (By similarity).	chromosome, centromeric region|cytoplasm|kinetochore|microtubule|outer kinetochore|spindle
57	Q6ZWN5	Cytoplasm|Nucleus|Nucleolus|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	cytoplasm|cytosol|cytosolic small ribosomal subunit|nucleolus|postsynapse|ribonucleoprotein complex|ribosome|small-subunit processome|synapse
58	Q5DTT3	Not found Uniprot Annotation	cytosol|nucleoplasm
59	Q922W5	Mitochondrion	mitochondrion
60	P17897	Secreted	endoplasmic reticulum lumen|extracellular region|Golgi cis cisterna|Golgi stack|microvillus|rough endoplasmic reticulum lumen|secretory granule|trans-Golgi network transport vesicle
61	Q792Z1	Not found Uniprot Annotation	collagen-containing extracellular matrix|extracellular space
62	P62192	Cytoplasm|Nucleus|Membrane|Lipid-anchor	cytosol|membrane|nucleoplasm|proteasome accessory complex|proteasome regulatory particle|proteasome regulatory particle, base subcomplex
63	P54869	Mitochondrion	mitochondrial inner membrane|mitochondrial matrix|mitochondrion
64	Q64511	Nucleus|Nucleolus|Nucleus|Nucleoplasm|Nucleus	cytosol|nucleolus|nucleoplasm|nucleus|ribonucleoprotein complex
65	P97351	Cytoplasm|Nucleus|Nucleus|Nucleolus|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	cytoplasm|cytosol|cytosolic small ribosomal subunit|endoplasmic reticulum|nucleolus|nucleus|postsynapse|ribonucleoprotein complex|ribosome|small ribosomal subunit|small-subunit processome|synapse
66	P20918	Secreted|Locates to the cell surface where it is proteolytically cleaved to produce the active plasmin. Interaction with HRG tethers it to the cell surface (By similarity).	cell surface|collagen-containing extracellular matrix|external side of plasma membrane|extracellular region|extracellular space|glutamatergic synapse|Schaffer collateral - CA1 synapse
67	P63037	Membrane|Lipid-anchor|Cytoplasm|Microsome|Mitochondrion|Nucleus|Cytoplasm|Perinuclear region|Primarily cytoplasmic and associated with microsomes. A minor proportion is associated with nuclei and mitochondria (By similarity).	cytoplasm|cytosol|endoplasmic reticulum|membrane|microtubule cytoskeleton|mitochondrion|nucleus|perinuclear region of cytoplasm
68	P97461	Cytoplasm|Nucleus|Nucleolus	cytoplasm|cytosol|cytosolic small ribosomal subunit|nucleolus|postsynapse|presynapse|ribonucleoprotein complex|ribosome|small-subunit processome|synapse
69	Q61549	Cell membrane|Multi-pass membrane protein	cell periphery|external side of plasma membrane|plasma membrane
70	Q9CPN9	Not found Uniprot Annotation	extracellular space
71	Q9NZT1	Not found Uniprot Annotation	extracellular region|ficolin-1-rich granule lumen
72	P02679	Secreted	blood microparticle|cell surface|collagen-containing extracellular matrix|endoplasmic reticulum lumen|external side of plasma membrane|extracellular exosome|extracellular region|extracellular space|fibrinogen complex|plasma membrane|platelet alpha granule|platelet alpha granule lumen
73	P02671	Secreted	blood microparticle|cell surface|collagen-containing extracellular matrix|endoplasmic reticulum|endoplasmic reticulum lumen|external side of plasma membrane|extracellular exosome|extracellular region|extracellular space|extracellular vesicle|fibrinogen complex|plasma membrane|platelet alpha granule|platelet alpha granule lumen
74	P00488	Cytoplasm|Secreted|Secreted into the blood plasma. Cytoplasmic in most tissues, but also secreted in the blood plasma.	blood microparticle|collagen-containing extracellular matrix|extracellular region|extracellular space|platelet alpha granule lumen|transferase complex
75	P81605	Secreted	extracellular exosome|extracellular region|membrane
76	P12259	Secreted	COPII-coated ER to Golgi transport vesicle|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment membrane|extracellular region|extracellular space|extracellular vesicle|membrane|plasma membrane|platelet alpha granule|platelet alpha granule lumen
77	P02763	Secreted	blood microparticle|collagen-containing extracellular matrix|extracellular exosome|extracellular region|extracellular space|platelet alpha granule lumen|specific granule lumen|tertiary granule lumen
78	Q9NRN7	Cytoplasm|Cytosol	cytosol|extracellular exosome
79	Q96P48	Cytoplasm|Golgi apparatus|Golgi stack membrane|Peripheral membrane protein|Cell membrane|Associated with Golgi stacks in resting cells. Throughout the cytoplasm and in surface protrusion in cells that are in the process of attaching to a surface and spreading.	cytoplasm|cytosol|Golgi apparatus|Golgi cisterna membrane|intracellular membrane-bounded organelle|nucleoplasm|plasma membrane|trans-Golgi network
80	P98161	Cell membrane|Multi-pass membrane protein|Cell projection|Cilium|Endoplasmic reticulum|Golgi apparatus|Vesicle|Secreted|Extracellular exosome|PKD1 localization to the plasma and ciliary membranes requires PKD2, is independent of PKD2 channel activity, and involves stimulation of PKD1 autoproteolytic cleavage at the GPS region of the GAIN-B domain. PKD1:PKD2 interaction is required to reach the Golgi apparatus from endoplasmic reticulum and then traffic to the cilia (By similarity). Ciliary localization of PKD1 requires BBS1 and ARL6/BBS3 (By similarity). Cell surface localization requires GANAB (PubMed:27259053). Detected on migrasomes and on extracellular exosomes in urine (PubMed:37681898).	basolateral plasma membrane|calcium channel complex|cation channel complex|cell surface|ciliary membrane|cilium|cytoplasm|endoplasmic reticulum|extracellular exosome|Golgi apparatus|Golgi membrane|Golgi-associated vesicle membrane|lateral plasma membrane|membrane|migrasome|motile cilium|nucleus|plasma membrane|polycystin complex
81	Q3SYG4	Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Cell projection|Cilium membrane|Cytoplasm|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Centriolar satellite	BBSome|centriolar satellite|ciliary membrane|ciliary transition zone|cilium|cytosol|membrane|pericentriolar material
82	A0A075B6R9	Secreted|Cell membrane	extracellular space|immunoglobulin complex|plasma membrane
83	Q6ZRF8	Cytoplasm|Probably located in the endoplasmic reticulum and/or possibly the cis-Golgi apparatus.	perinuclear region of cytoplasm
84	Q9P244	Membrane|Single-pass type I membrane protein|Synapse|Postsynaptic density membrane|Detected in excitatory, but not inhibitory, synaptic plasma membrane.	cell surface|plasma membrane|postsynaptic density membrane
85	O15034	Cell membrane|Synapse|Synaptic plasma membrane.	plasma membrane|synapse
86	Q14624	Secreted	blood microparticle|collagen-containing extracellular matrix|extracellular exosome|extracellular region|plasma membrane|platelet dense granule lumen
87	Q96AA8	Golgi apparatus	Golgi apparatus
88	P61626	Secreted	azurophil granule lumen|extracellular exosome|extracellular region|extracellular space|specific granule lumen|tertiary granule lumen
89	Q12899	Cytoplasm|Nucleus|Viral infection mediates TRIM26 nuclear translocation.	cytoplasm|cytosol|nucleus
90	P12273	Secreted	extracellular exosome|extracellular region|extracellular space|nucleus
91	Q02413	Cell membrane|Single-pass type I membrane protein|Cell junction|Desmosome|Cytoplasm|Nucleus	apical plasma membrane|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytosol|desmosome|ficolin-1-rich granule membrane|lateral plasma membrane|nucleus|plasma membrane
92	Q91Z83	Cytoplasm|Myofibril|Cytoplasm|Myofibril|Sarcomere|Thick filaments of the myofibrils.	cytoplasm|muscle myosin complex|myofibril|myosin complex|myosin filament|myosin II complex|sarcomere|stress fiber|Z disc
93	Q5SX39	Cytoplasm|Myofibril|Thick filaments of the myofibrils.	cytoplasm|myofibril|myosin filament|myosin II complex
94	Q5SX40	Cytoplasm|Myofibril|Thick filaments of the myofibrils.	A band|cytoplasm|cytoplasmic ribonucleoprotein granule|intercalated disc|muscle myosin complex|myosin filament|myosin II complex
95	P13542	Cytoplasm|Myofibril|Thick filaments of the myofibrils.	cytoplasm|myofibril|myosin complex|myosin filament|myosin II complex
96	B1AR69	Not found Uniprot Annotation	cytoplasm|myofibril|myosin filament|myosin II complex
97	G3UW82	Not found Uniprot Annotation	A band|actomyosin contractile ring|cell-cell junction|cytoplasm|Golgi apparatus|muscle myosin complex|myofibril|myosin filament|myosin II complex
98	Q02566	Cytoplasm|Myofibril|Thick filaments of the myofibrils.	cytoplasm|muscle myosin complex|myofibril|myosin complex|myosin filament|myosin II complex|stress fiber|Z disc
99	P17156	Cytoplasm|Cytoskeleton|Spindle|Colocalizes with SHCBP1L at spindle during the meiosis process (PubMed:24557841).	CatSper complex|cell surface|cytoplasm|cytosol|male germ cell nucleus|meiotic spindle|mitochondrion|myelin sheath|nucleoplasm|nucleus|plasma membrane|synaptonemal complex
100	P63017	Cytoplasm|Melanosome|Nucleus|Nucleolus|Cell membrane|Lysosome membrane|Peripheral membrane protein|Cytoplasmic side|Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Translocates rapidly from the cytoplasm to the nuclei, and especially to the nucleoli, upon heat shock.	asymmetric synapse|autophagosome|axon|cell surface|cytoplasm|cytosol|dendrite|dendritic shaft|dendritic spine|extracellular exosome|glutamatergic synapse|glycinergic synapse|intermediate filament|late endosome|late endosome lumen|lysosomal matrix|lysosomal membrane|melanosome|microtubule|myelin sheath|neuron spine|neuronal cell body|nucleolus|nucleus|perikaryon|perinuclear region of cytoplasm|photoreceptor inner segment|photoreceptor ribbon synapse|plasma membrane|postsynapse|postsynaptic cytosol|postsynaptic density|postsynaptic specialization membrane|presynapse|presynaptic cytosol|protein folding chaperone complex|protein-containing complex|Prp19 complex|ribonucleoprotein complex|spliceosomal complex|synaptic vesicle|terminal bouton
101	P13541	Cytoplasm|Myofibril|Thick filaments of the myofibrils.	contractile fiber|cytoplasm|myofibril|myosin complex|myosin filament|myosin II complex
102	P21107	Isoform 2|Cytoplasm|Cytoskeleton	actin filament|cleavage furrow|cortical cytoskeleton|cytoplasm|growth cone|neuron projection|podosome|stress fiber
103	P20029	Endoplasmic reticulum lumen|Melanosome|Cytoplasm|Cell surface|Identified by mass spectrometry in melanosome fractions from stage I to stage IV (By similarity). Localizes to the cell surface in epithelial cells; high levels of free iron promotes cell surface localization (By similarity).	cell surface|COP9 signalosome|cytoplasm|cytosol|dendritic shaft|endoplasmic reticulum|endoplasmic reticulum chaperone complex|endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|extracellular region|melanosome|membrane|midbody|mitochondrion|myelin sheath|neuronal cell body|nucleus|plasma membrane|smooth endoplasmic reticulum
104	D3Z2H9	Cytoplasm|Cytoskeleton	actin filament|brush border
105	P16627	Not found Uniprot Annotation	blood microparticle|cell body|COP9 signalosome|cytoplasm|cytosol|mitochondrial matrix|nucleus|plasma membrane|vesicle|zona pellucida receptor complex
106	A2AQP0	Membrane|Peripheral membrane protein	cardiac myofibril|cytoplasm|membrane|myosin filament|myosin II complex
107	P58771	Cytoplasm|Cytoskeleton|Associates with F-actin stress fibers.	actin cytoskeleton|actin filament|cytoplasm|muscle thin filament tropomyosin|myofibril|protein-containing complex
108	Q8R429	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|H zone|I band|membrane|mitochondrion|perinuclear region of cytoplasm|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
109	Q61696	Cytoplasm|Nucleus|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Secreted|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	apical plasma membrane|basolateral plasma membrane|blood microparticle|centrosome|cytoplasm|cytosol|membrane raft|mitochondrion|nuclear speck|nucleus|perinuclear region of cytoplasm|protein-containing complex|vesicle
110	P17879	Cytoplasm|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	apical plasma membrane|basolateral plasma membrane|blood microparticle|cell body|centrosome|cytoplasm|cytosol|membrane raft|mitochondrial matrix|mitochondrion|nucleus|protein-containing complex|vesicle|zona pellucida receptor complex
111	P58774	Cytoplasm|Cytoskeleton|Associates with F-actin stress fibers.	actin cytoskeleton|actin filament|muscle thin filament tropomyosin
112	Q64518	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|sarcoplasmic reticulum membrane
113	P09813	Secreted	blood microparticle|chylomicron|cytosol|extracellular region|extracellular space|spherical high-density lipoprotein particle|very-low-density lipoprotein particle
114	P46471	Cytoplasm|Colocalizes with TRIM5 in cytoplasmic bodies.	dendritic spine|P-body|proteasome accessory complex|proteasome regulatory particle, base subcomplex
115	Q3V132	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|Cell projection|Cilium|Flagellum membrane|Multi-pass membrane protein|In sperm flagellum this protein is located in the fibrous sheath, a non-mitochondrial region (By similarity). May localize to non-mitochondrial membranes (By similarity).	mitochondrial inner membrane|mitochondrial permeability transition pore complex|mitochondrion|motile cilium|plasma membrane
116	P48962	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|The complex formed with ARL2BP, ARL2 and SLC25A4/ANT1 is expressed in mitochondria (PubMed:11809823). May localize to non-mitochondrial membranes (By similarity).	membrane raft|mitochondrial inner membrane|mitochondrial membrane|mitochondrial outer membrane|mitochondrial permeability transition pore complex|mitochondrion|myelin sheath
117	P51881	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|May localize to non-mitochondrial membranes.	membrane raft|mitochondrial inner membrane|mitochondrial nucleoid|mitochondrial permeability transition pore complex|mitochondrion|MMXD complex|myelin sheath
118	P33622	Secreted	chylomicron|cytosol|extracellular region|extracellular space|intermediate-density lipoprotein particle|spherical high-density lipoprotein particle|very-low-density lipoprotein particle
119	Q8VG96	Cell membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein	membrane|plasma membrane
120	O55143	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein|Colocalizes with FLVCR2 at the mitochondrial-ER contact junction.	apical ectoplasmic specialization|endoplasmic reticulum|extrinsic component of cytoplasmic side of plasma membrane|membrane|perinuclear region of cytoplasm|plasma membrane bounded cell projection|protein-containing complex|ribbon synapse|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
121	P01837	Not found Uniprot Annotation	extracellular region|plasma membrane
122	P17751	Cytoplasm	cytosol
123	A6ZI47	Cytoplasm|Myofibril|Sarcomere|I band|Cytoplasm|Myofibril|Sarcomere|M line	cytosol|I band|M band
124	P05064	Cytoplasm|Myofibril|Sarcomere|I band|Cytoplasm|Myofibril|Sarcomere|M line|In skeletal muscle, accumulates around the M line and within the I band, colocalizing with FBP2 on both sides of the Z line in the absence of Ca(2+).	cytoplasm|cytosol|extracellular space|heterochromatin|M band|membrane|myelin sheath|plasma membrane|protein-containing complex|sperm fibrous sheath|Z disc
125	P01942	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex|myelin sheath
126	A0A1D5RLD8	Cytoplasm|Cytoskeleton|Cytoplasm|Cytosol|Nucleus	cytoplasm|cytosol|glutamatergic synapse|microtubule cytoskeleton|nucleus|postsynaptic density, intracellular component
127	P16858	Cytoplasm|Cytosol|Cytoplasm|Cytoskeleton|Nucleus|Translocates to the nucleus following S-nitrosylation and interaction with SIAH1, which contains a nuclear localization signal. Colocalizes with CHP1 to small punctate structures along the microtubules tracks.	cytoplasm|cytosol|GAIT complex|glutamatergic synapse|late endosome lumen|microtubule cytoskeleton|mitochondrion|myelin sheath|nucleus|plasma membrane|postsynaptic density, intracellular component
128	S4R1W1	Cytoplasm|Cytoskeleton|Cytoplasm|Cytosol|Nucleus	cytoplasm|cytosol|glutamatergic synapse|microtubule cytoskeleton|nucleus|postsynaptic density, intracellular component
